Community Name,"Holds degree or higher, %","Equivalent household income <$600/week, %",,,Locality,2013
Doreen (Suburb),31.00719424,19.62106615,,,GORDON,278500
Doveton (Catchment),18.48739496,54.74452555,,,GOUGHS BAY,257500
Doveton (Suburb),24.92227979,61.09567289,,,GOWANBRAE,620000
Dromana (Catchment),35.24634543,45.21791768,,,GRANTVILLE,215000
Dromana (Suburb),29.03981265,49.62325081,,,GREEN LAKE,262500
Drouin (Catchment),26.54387866,42.80742459,,,GREENSBOROUGH,534000
Drouin (Town),23.6503856,48.71875989,,,GREENVALE,550000
Drumcondra (Suburb),52.5,26.51162791,,,GROVEDALE,352000
Drysdale - Clifton Springs (Catchment),47.17514124,23.94366197,,,HADFIELD,461500
Drysdale - Clifton Springs (Town),25.86516278,45.0318295,,,HALLAM,362500
Dunkeld (Town),33.71428571,54.30107527,,,HALLS GAP,184500
Dunolly (Town),21.52777778,81.13879004,,,HAMILTON,192500
Eagle Point (Town),33.68055556,46.21513944,,,HAMLYN HEIGHTS,363500
Eaglehawk (Catchment),21.95037905,47.80813215,,,HAMPTON,1270000
Eaglehawk (Suburb),21.5498155,57.97687861,,,HAMPTON EAST,770000
Eaglemont (Suburb),71.26203751,20.06633499,,,HAMPTON PARK,330000
East Bendigo (Suburb),33.86897404,42.22488038,,,HARCOURT,309000
East Geelong (Catchment),36.21621622,59.68063872,,,HARKNESS,330000
East Geelong (Suburb),48.744892,35.06583507,,,HASTINGS,345000
East Melbourne (Suburb),78.99497487,13.18295739,,,HASTINGS WEST,280000
East Warburton (Town),30.43478261,54.81727575,,,HAWTHORN,1575000
Ebden (Town),6.428571429,52.17391304,,,HAWTHORN EAST,1247500
Echuca (Catchment),23.89380531,41.31799163,,,HEALESVILLE,385500
Echuca (Town),26.09383237,49.08045977,,,HEATHCOTE,227500
Edenhope (Catchment),24.37395659,49.16773367,,,HEATHCOTE JUNCTION,372500
Edenhope (Town),26.55367232,61.23188406,,,HEATHERTON,630000
Edithvale (Suburb),39.25527142,32.68625393,,,HEATHMONT,589000
Eildon (Town),19.8156682,64.49275362,,,HEIDELBERG,772500
Eldorado (Town),23.33333333,60,,,HEIDELBERG HEIGHTS,536000
Elmore (Catchment),22.03856749,48.60050891,,,HEIDELBERG WEST,425500
Elmore (Town),23.66863905,64.31226766,,,HEPBURN,291000
Elsternwick (Catchment),64.90765172,23.75415282,,,HEPBURN SPRINGS,340000
Elsternwick (Suburb),69.32038835,27.46129126,,,HERNE HILL,350000
Eltham North (Suburb),48.75084402,17.2008547,,,HEYFIELD,200000
Eltham (Suburb),51.02617672,22.75372863,,,HEYWOOD,142000
Elwood (Suburb),67.81595387,18.51255634,,,HIGHETT,750000
Emerald (Catchment),33.79694019,31.61033797,,,HIGHTON,477000
Emerald (Suburb),35.30673531,33.74164811,,,HILLSIDE (BRIMBANK),380000
Endeavour Hills (Catchment),39.11719939,25.4587156,,,HILLSIDE (MELTON),433500
Endeavour Hills (Suburb),38.04842963,39.18213457,,,HOPETOUN,88000
Enfield (Town),28.16901408,51.58730159,,,HOPPERS CROSSING,321500
Epping (Catchment),35.24904215,31.69811321,,,HORSHAM,215000
Epping (Suburb),35.41955836,38.6179402,,,HUGHESDALE,820000
Epsom (Suburb),30.23504274,34.97652582,,,HUNTINGDALE,659000
Essendon (Catchment),55.30629853,25.64383562,,,HUNTLY,337500
Essendon North (Suburb),49.66442953,32.45192308,,,HURSTBRIDGE,482000
Essendon (Suburb),58.57538869,27.02200186,,,INDENTED HEAD,390000
Essendon West (Suburb),52.92035398,33.04347826,,,INGLEWOOD,160000
Eumemmerring (Suburb),20.04662005,58.59766277,,,INVERLOCH,431000
Eureka (Suburb),38.81278539,31.91489362,,,INVERMAY PARK,378000
Euroa (Catchment),30.52450559,49.59785523,,,IRONBARK,277000
Euroa (Town),23,58.97196262,,,IRYMPLE,248000
Fairfield (Suburb),68.02987198,29.65357968,,,IVANHOE,1090000
Falls Creek (Town),34.23423423,,,,IVANHOE EAST,1310000
Fawkner (Suburb),41.77693762,58.93234672,,,JACANA,334000
Ferntree Gully (Catchment),36.49851632,17.18061674,,,JACKASS FLAT,287500
Ferntree Gully (Suburb),31.13456464,36.01879037,,,JAMIESON,205000
Ferny Creek (Suburb),49.03314917,27.01030928,,,JAN JUC,555000
Fish Creek (Town),20.28985507,65.67164179,,,JEERALANG NORTH,145500
Fitzroy North (Catchment),79.91631799,16.03053435,,,JEPARIT,80500
Fitzroy North (Suburb),77.3383553,27.67281106,,,JOLIMONT,2625000
Fitzroy (Suburb),74.96318115,32.34772324,,,JUNCTION VILLAGE,312000
Flemington (Suburb),67.5922901,43.62637363,,,JUNORTOUN,490000
Flinders (Town),51.05633803,27.31958763,,,KALIMNA,230000
Flora Hill (Suburb),40.9510291,50.23291925,,,KALKALLO,450000
Footscray (Suburb),63.56215213,44.31767338,,,KALLISTA,425000
Forest Hill (Suburb),53.808948,41.87289089,,,KALORAMA,442500
Foster (Catchment),31.67173252,51.64698571,,,KANGAROO FLAT,292500
Foster (Town),29.38005391,60.99773243,,,KANGAROO GROUND SOUTH,615000
Framlingham (Town),,100,,,KANIVA,75000
Frankston North (Suburb),14.87669053,60.46145779,,,KATUNGA,229000
Frankston South (Suburb),38.06183796,34.01733593,,,KEALBA,370000
Frankston (Suburb),27.91161322,45.95872066,,,KEILOR,572500
Gardenvale (Suburb),69.2,27.25,,,KEILOR DOWNS,403500
Garfield (Town),22.3495702,47.12643678,,,KEILOR EAST,560000
Geelong (Catchment),47.42990654,32.18390805,,,KEILOR LODGE,490000
Geelong (Suburb),51.82242991,31.87319885,,,KEILOR PARK,455000
Geelong West (Catchment),43.85176867,39.25792938,,,KENNINGTON,351500
Geelong West (Suburb),48.48380427,38.62940276,,,KENSINGTON,690000
Gembrook (Town),27.90697674,39.22261484,,,KERANG,152000
Girgarre (Town),,60.60606061,,,KEW,1751000
Gisborne (Catchment),39.22315308,23.36448598,,,KEW EAST,1210000
Gisborne (Town),38.85696041,28.83333333,,,KEW NORTH,1260000
Gladstone Park (Catchment),18.51851852,36,,,KEYSBOROUGH,435000
